item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,subject_context_condition,item,condition_id
10_word1_neutral_nocontext,word1,rides,neutral,he,nocontext,,1,bike,he,he rides a,rides,a,bike,Does,ride,he rides a bike,Does he ride a bike?,neutral_nocontext,10,word1_neutral_nocontext
10_word1_neutral_context1,word1,rides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he rides a",rides,a,bike,Does,ride,"in the park, he rides a bike",Does he ride a bike?,neutral_context1,10,word1_neutral_context1
10_word1_neutral_context2,word1,rides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he rides a",rides,a,bike,Does,ride,"on a mission, he rides a bike",Does he ride a bike?,neutral_context2,10,word1_neutral_context2
10_word1_subject1_nocontext,word1,rides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist rides a,rides,a,bike,Does,ride,the cyclist rides a bike,Does the cyclist ride a bike?,subject1_nocontext,10,word1_subject1_nocontext
10_word1_subject2_nocontext,word1,rides,subject2,the spy,nocontext,,1,bike,the spy,the spy rides a,rides,a,bike,Does,ride,the spy rides a bike,Does the spy ride a bike?,subject2_nocontext,10,word1_subject2_nocontext
10_word2_neutral_nocontext,word2,hides,neutral,he,nocontext,,1,bike,he,he hides a,hides,a,bike,Does,ride,he hides a bike,Does he ride a bike?,neutral_nocontext,10,word2_neutral_nocontext
10_word2_neutral_context1,word2,hides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he hides a",hides,a,bike,Does,ride,"in the park, he hides a bike",Does he ride a bike?,neutral_context1,10,word2_neutral_context1
10_word2_neutral_context2,word2,hides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he hides a",hides,a,bike,Does,ride,"on a mission, he hides a bike",Does he ride a bike?,neutral_context2,10,word2_neutral_context2
10_word2_subject1_nocontext,word2,hides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist hides a,hides,a,bike,Does,ride,the cyclist hides a bike,Does the cyclist ride a bike?,subject1_nocontext,10,word2_subject1_nocontext
10_word2_subject2_nocontext,word2,hides,subject2,the spy,nocontext,,1,bike,the spy,the spy hides a,hides,a,bike,Does,ride,the spy hides a bike,Does the spy ride a bike?,subject2_nocontext,10,word2_subject2_nocontext
10_word2_control_neutral_nocontext,word2_control,conceals,neutral,he,nocontext,,1,bike,he,he conceals a,conceals,a,bike,Does,ride,he conceals a bike,Does he ride a bike?,neutral_nocontext,10,word2_control_neutral_nocontext
10_word2_control_neutral_context1,word2_control,conceals,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he conceals a",conceals,a,bike,Does,ride,"in the park, he conceals a bike",Does he ride a bike?,neutral_context1,10,word2_control_neutral_context1
10_word2_control_neutral_context2,word2_control,conceals,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he conceals a",conceals,a,bike,Does,ride,"on a mission, he conceals a bike",Does he ride a bike?,neutral_context2,10,word2_control_neutral_context2
10_word2_control_subject1_nocontext,word2_control,conceals,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist conceals a,conceals,a,bike,Does,ride,the cyclist conceals a bike,Does the cyclist ride a bike?,subject1_nocontext,10,word2_control_subject1_nocontext
10_word2_control_subject2_nocontext,word2_control,conceals,subject2,the spy,nocontext,,1,bike,the spy,the spy conceals a,conceals,a,bike,Does,ride,the spy conceals a bike,Does the spy ride a bike?,subject2_nocontext,10,word2_control_subject2_nocontext
10_nonword_neutral_nocontext,nonword,iides,neutral,he,nocontext,,1,bike,he,he iides a,iides,a,bike,Does,ride,he iides a bike,Does he ride a bike?,neutral_nocontext,10,nonword_neutral_nocontext
10_nonword_neutral_context1,nonword,iides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he iides a",iides,a,bike,Does,ride,"in the park, he iides a bike",Does he ride a bike?,neutral_context1,10,nonword_neutral_context1
10_nonword_neutral_context2,nonword,iides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he iides a",iides,a,bike,Does,ride,"on a mission, he iides a bike",Does he ride a bike?,neutral_context2,10,nonword_neutral_context2
10_nonword_subject1_nocontext,nonword,iides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist iides a,iides,a,bike,Does,ride,the cyclist iides a bike,Does the cyclist ride a bike?,subject1_nocontext,10,nonword_subject1_nocontext
10_nonword_subject2_nocontext,nonword,iides,subject2,the spy,nocontext,,1,bike,the spy,the spy iides a,iides,a,bike,Does,ride,the spy iides a bike,Does the spy ride a bike?,subject2_nocontext,10,nonword_subject2_nocontext
10_random_neutral_nocontext,random,defigals,neutral,he,nocontext,,1,bike,he,he defigals a,defigals,a,bike,Does,ride,he defigals a bike,Does he ride a bike?,neutral_nocontext,10,random_neutral_nocontext
10_random_neutral_context1,random,defigals,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he defigals a",defigals,a,bike,Does,ride,"in the park, he defigals a bike",Does he ride a bike?,neutral_context1,10,random_neutral_context1
10_random_neutral_context2,random,defigals,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he defigals a",defigals,a,bike,Does,ride,"on a mission, he defigals a bike",Does he ride a bike?,neutral_context2,10,random_neutral_context2
10_random_subject1_nocontext,random,defigals,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist defigals a,defigals,a,bike,Does,ride,the cyclist defigals a bike,Does the cyclist ride a bike?,subject1_nocontext,10,random_subject1_nocontext
10_random_subject2_nocontext,random,defigals,subject2,the spy,nocontext,,1,bike,the spy,the spy defigals a,defigals,a,bike,Does,ride,the spy defigals a bike,Does the spy ride a bike?,subject2_nocontext,10,random_subject2_nocontext
11_word1_neutral_nocontext,word1,pulls,neutral,he,nocontext,,1,door,he,he pulls the,pulls,the,door,Does,pull,he pulls the door,Does he pull the door?,neutral_nocontext,11,word1_neutral_nocontext
11_word1_neutral_context1,word1,pulls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he pulls the",pulls,the,door,Does,pull,"at the entrance, he pulls the door",Does he pull the door?,neutral_context1,11,word1_neutral_context1
11_word1_neutral_context2,word1,pulls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he pulls the",pulls,the,door,Does,pull,"on a game show, he pulls the door",Does he pull the door?,neutral_context2,11,word1_neutral_context2
11_word1_subject1_nocontext,word1,pulls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor pulls the,pulls,the,door,Does,pull,the visitor pulls the door,Does the visitor pull the door?,subject1_nocontext,11,word1_subject1_nocontext
11_word1_subject2_nocontext,word1,pulls,subject2,the host,nocontext,,1,door,the host,the host pulls the,pulls,the,door,Does,pull,the host pulls the door,Does the host pull the door?,subject2_nocontext,11,word1_subject2_nocontext
11_word2_neutral_nocontext,word2,polls,neutral,he,nocontext,,1,door,he,he polls the,polls,the,door,Does,pull,he polls the door,Does he pull the door?,neutral_nocontext,11,word2_neutral_nocontext
11_word2_neutral_context1,word2,polls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he polls the",polls,the,door,Does,pull,"at the entrance, he polls the door",Does he pull the door?,neutral_context1,11,word2_neutral_context1
11_word2_neutral_context2,word2,polls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he polls the",polls,the,door,Does,pull,"on a game show, he polls the door",Does he pull the door?,neutral_context2,11,word2_neutral_context2
11_word2_subject1_nocontext,word2,polls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor polls the,polls,the,door,Does,pull,the visitor polls the door,Does the visitor pull the door?,subject1_nocontext,11,word2_subject1_nocontext
11_word2_subject2_nocontext,word2,polls,subject2,the host,nocontext,,1,door,the host,the host polls the,polls,the,door,Does,pull,the host polls the door,Does the host pull the door?,subject2_nocontext,11,word2_subject2_nocontext
11_word2_control_neutral_nocontext,word2_control,surveys,neutral,he,nocontext,,1,door,he,he surveys the,surveys,the,door,Does,pull,he surveys the door,Does he pull the door?,neutral_nocontext,11,word2_control_neutral_nocontext
11_word2_control_neutral_context1,word2_control,surveys,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he surveys the",surveys,the,door,Does,pull,"at the entrance, he surveys the door",Does he pull the door?,neutral_context1,11,word2_control_neutral_context1
11_word2_control_neutral_context2,word2_control,surveys,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he surveys the",surveys,the,door,Does,pull,"on a game show, he surveys the door",Does he pull the door?,neutral_context2,11,word2_control_neutral_context2
11_word2_control_subject1_nocontext,word2_control,surveys,subject1,the visitor,nocontext,,1,door,the visitor,the visitor surveys the,surveys,the,door,Does,pull,the visitor surveys the door,Does the visitor pull the door?,subject1_nocontext,11,word2_control_subject1_nocontext
11_word2_control_subject2_nocontext,word2_control,surveys,subject2,the host,nocontext,,1,door,the host,the host surveys the,surveys,the,door,Does,pull,the host surveys the door,Does the host pull the door?,subject2_nocontext,11,word2_control_subject2_nocontext
11_nonword_neutral_nocontext,nonword,prlls,neutral,he,nocontext,,1,door,he,he prlls the,prlls,the,door,Does,pull,he prlls the door,Does he pull the door?,neutral_nocontext,11,nonword_neutral_nocontext
11_nonword_neutral_context1,nonword,prlls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he prlls the",prlls,the,door,Does,pull,"at the entrance, he prlls the door",Does he pull the door?,neutral_context1,11,nonword_neutral_context1
11_nonword_neutral_context2,nonword,prlls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he prlls the",prlls,the,door,Does,pull,"on a game show, he prlls the door",Does he pull the door?,neutral_context2,11,nonword_neutral_context2
11_nonword_subject1_nocontext,nonword,prlls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor prlls the,prlls,the,door,Does,pull,the visitor prlls the door,Does the visitor pull the door?,subject1_nocontext,11,nonword_subject1_nocontext
11_nonword_subject2_nocontext,nonword,prlls,subject2,the host,nocontext,,1,door,the host,the host prlls the,prlls,the,door,Does,pull,the host prlls the door,Does the host pull the door?,subject2_nocontext,11,nonword_subject2_nocontext
11_random_neutral_nocontext,random,phrneys,neutral,he,nocontext,,1,door,he,he phrneys the,phrneys,the,door,Does,pull,he phrneys the door,Does he pull the door?,neutral_nocontext,11,random_neutral_nocontext
11_random_neutral_context1,random,phrneys,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he phrneys the",phrneys,the,door,Does,pull,"at the entrance, he phrneys the door",Does he pull the door?,neutral_context1,11,random_neutral_context1
11_random_neutral_context2,random,phrneys,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he phrneys the",phrneys,the,door,Does,pull,"on a game show, he phrneys the door",Does he pull the door?,neutral_context2,11,random_neutral_context2
11_random_subject1_nocontext,random,phrneys,subject1,the visitor,nocontext,,1,door,the visitor,the visitor phrneys the,phrneys,the,door,Does,pull,the visitor phrneys the door,Does the visitor pull the door?,subject1_nocontext,11,random_subject1_nocontext
11_random_subject2_nocontext,random,phrneys,subject2,the host,nocontext,,1,door,the host,the host phrneys the,phrneys,the,door,Does,pull,the host phrneys the door,Does the host pull the door?,subject2_nocontext,11,random_subject2_nocontext
12_word1_neutral_nocontext,word1,dried,neutral,he,nocontext,,1,clothes,he,he dried the,dried,the,clothes,Did,dry,he dried the clothes,Did he dry the clothes?,neutral_nocontext,12,word1_neutral_nocontext
12_word1_neutral_context1,word1,dried,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he dried the",dried,the,clothes,Did,dry,"in the laundry room, he dried the clothes",Did he dry the clothes?,neutral_context1,12,word1_neutral_context1
12_word1_neutral_context2,word1,dried,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he dried the",dried,the,clothes,Did,dry,"in the kitchen, he dried the clothes",Did he dry the clothes?,neutral_context2,12,word1_neutral_context2
12_word1_subject1_nocontext,word1,dried,subject1,the maid,nocontext,,1,clothes,the maid,the maid dried the,dried,the,clothes,Did,dry,the maid dried the clothes,Did the maid dry the clothes?,subject1_nocontext,12,word1_subject1_nocontext
12_word1_subject2_nocontext,word1,dried,subject2,the cook,nocontext,,1,clothes,the cook,the cook dried the,dried,the,clothes,Did,dry,the cook dried the clothes,Did the cook dry the clothes?,subject2_nocontext,12,word1_subject2_nocontext
12_word2_neutral_nocontext,word2,fried,neutral,he,nocontext,,1,clothes,he,he fried the,fried,the,clothes,Did,dry,he fried the clothes,Did he dry the clothes?,neutral_nocontext,12,word2_neutral_nocontext
12_word2_neutral_context1,word2,fried,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he fried the",fried,the,clothes,Did,dry,"in the laundry room, he fried the clothes",Did he dry the clothes?,neutral_context1,12,word2_neutral_context1
12_word2_neutral_context2,word2,fried,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he fried the",fried,the,clothes,Did,dry,"in the kitchen, he fried the clothes",Did he dry the clothes?,neutral_context2,12,word2_neutral_context2
12_word2_subject1_nocontext,word2,fried,subject1,the maid,nocontext,,1,clothes,the maid,the maid fried the,fried,the,clothes,Did,dry,the maid fried the clothes,Did the maid dry the clothes?,subject1_nocontext,12,word2_subject1_nocontext
12_word2_subject2_nocontext,word2,fried,subject2,the cook,nocontext,,1,clothes,the cook,the cook fried the,fried,the,clothes,Did,dry,the cook fried the clothes,Did the cook dry the clothes?,subject2_nocontext,12,word2_subject2_nocontext
12_word2_control_neutral_nocontext,word2_control,boiled,neutral,he,nocontext,,1,clothes,he,he boiled the,boiled,the,clothes,Did,dry,he boiled the clothes,Did he dry the clothes?,neutral_nocontext,12,word2_control_neutral_nocontext
12_word2_control_neutral_context1,word2_control,boiled,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he boiled the",boiled,the,clothes,Did,dry,"in the laundry room, he boiled the clothes",Did he dry the clothes?,neutral_context1,12,word2_control_neutral_context1
12_word2_control_neutral_context2,word2_control,boiled,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he boiled the",boiled,the,clothes,Did,dry,"in the kitchen, he boiled the clothes",Did he dry the clothes?,neutral_context2,12,word2_control_neutral_context2
12_word2_control_subject1_nocontext,word2_control,boiled,subject1,the maid,nocontext,,1,clothes,the maid,the maid boiled the,boiled,the,clothes,Did,dry,the maid boiled the clothes,Did the maid dry the clothes?,subject1_nocontext,12,word2_control_subject1_nocontext
12_word2_control_subject2_nocontext,word2_control,boiled,subject2,the cook,nocontext,,1,clothes,the cook,the cook boiled the,boiled,the,clothes,Did,dry,the cook boiled the clothes,Did the cook dry the clothes?,subject2_nocontext,12,word2_control_subject2_nocontext
12_nonword_neutral_nocontext,nonword,aried,neutral,he,nocontext,,1,clothes,he,he aried the,aried,the,clothes,Did,dry,he aried the clothes,Did he dry the clothes?,neutral_nocontext,12,nonword_neutral_nocontext
12_nonword_neutral_context1,nonword,aried,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he aried the",aried,the,clothes,Did,dry,"in the laundry room, he aried the clothes",Did he dry the clothes?,neutral_context1,12,nonword_neutral_context1
12_nonword_neutral_context2,nonword,aried,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he aried the",aried,the,clothes,Did,dry,"in the kitchen, he aried the clothes",Did he dry the clothes?,neutral_context2,12,nonword_neutral_context2
12_nonword_subject1_nocontext,nonword,aried,subject1,the maid,nocontext,,1,clothes,the maid,the maid aried the,aried,the,clothes,Did,dry,the maid aried the clothes,Did the maid dry the clothes?,subject1_nocontext,12,nonword_subject1_nocontext
12_nonword_subject2_nocontext,nonword,aried,subject2,the cook,nocontext,,1,clothes,the cook,the cook aried the,aried,the,clothes,Did,dry,the cook aried the clothes,Did the cook dry the clothes?,subject2_nocontext,12,nonword_subject2_nocontext
12_random_neutral_nocontext,random,usiled,neutral,he,nocontext,,1,clothes,he,he usiled the,usiled,the,clothes,Did,dry,he usiled the clothes,Did he dry the clothes?,neutral_nocontext,12,random_neutral_nocontext
12_random_neutral_context1,random,usiled,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he usiled the",usiled,the,clothes,Did,dry,"in the laundry room, he usiled the clothes",Did he dry the clothes?,neutral_context1,12,random_neutral_context1
12_random_neutral_context2,random,usiled,neutral,he,context2,"in the kitchen, ",1,clothes,"in the kitchen, he","in the kitchen, he usiled the",usiled,the,clothes,Did,dry,"in the kitchen, he usiled the clothes",Did he dry the clothes?,neutral_context2,12,random_neutral_context2
12_random_subject1_nocontext,random,usiled,subject1,the maid,nocontext,,1,clothes,the maid,the maid usiled the,usiled,the,clothes,Did,dry,the maid usiled the clothes,Did the maid dry the clothes?,subject1_nocontext,12,random_subject1_nocontext
12_random_subject2_nocontext,random,usiled,subject2,the cook,nocontext,,1,clothes,the cook,the cook usiled the,usiled,the,clothes,Did,dry,the cook usiled the clothes,Did the cook dry the clothes?,subject2_nocontext,12,random_subject2_nocontext
13_word1_neutral_nocontext,word1,failed,neutral,he,nocontext,,1,exam,he,he failed the,failed,the,exam,Did,fail,he failed the exam,Did he fail the exam?,neutral_nocontext,13,word1_neutral_nocontext
13_word1_neutral_context1,word1,failed,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he failed the",failed,the,exam,Did,fail,"despite cramming at the last minute, he failed the exam",Did he fail the exam?,neutral_context1,13,word1_neutral_context1
13_word1_neutral_context2,word1,failed,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he failed the",failed,the,exam,Did,fail,"at the postal service desk, he failed the exam",Did he fail the exam?,neutral_context2,13,word1_neutral_context2
13_word1_subject1_nocontext,word1,failed,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student failed the,failed,the,exam,Did,fail,the lazy student failed the exam,Did the lazy student fail the exam?,subject1_nocontext,13,word1_subject1_nocontext
13_word1_subject2_nocontext,word1,failed,subject2,the sender,nocontext,,1,exam,the sender,the sender failed the,failed,the,exam,Did,fail,the sender failed the exam,Did the sender fail the exam?,subject2_nocontext,13,word1_subject2_nocontext
13_word2_neutral_nocontext,word2,mailed,neutral,he,nocontext,,1,exam,he,he mailed the,mailed,the,exam,Did,fail,he mailed the exam,Did he fail the exam?,neutral_nocontext,13,word2_neutral_nocontext
13_word2_neutral_context1,word2,mailed,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he mailed the",mailed,the,exam,Did,fail,"despite cramming at the last minute, he mailed the exam",Did he fail the exam?,neutral_context1,13,word2_neutral_context1
13_word2_neutral_context2,word2,mailed,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he mailed the",mailed,the,exam,Did,fail,"at the postal service desk, he mailed the exam",Did he fail the exam?,neutral_context2,13,word2_neutral_context2
13_word2_subject1_nocontext,word2,mailed,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student mailed the,mailed,the,exam,Did,fail,the lazy student mailed the exam,Did the lazy student fail the exam?,subject1_nocontext,13,word2_subject1_nocontext
13_word2_subject2_nocontext,word2,mailed,subject2,the sender,nocontext,,1,exam,the sender,the sender mailed the,mailed,the,exam,Did,fail,the sender mailed the exam,Did the sender fail the exam?,subject2_nocontext,13,word2_subject2_nocontext
13_word2_control_neutral_nocontext,word2_control,posted,neutral,he,nocontext,,1,exam,he,he posted the,posted,the,exam,Did,fail,he posted the exam,Did he fail the exam?,neutral_nocontext,13,word2_control_neutral_nocontext
13_word2_control_neutral_context1,word2_control,posted,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he posted the",posted,the,exam,Did,fail,"despite cramming at the last minute, he posted the exam",Did he fail the exam?,neutral_context1,13,word2_control_neutral_context1
13_word2_control_neutral_context2,word2_control,posted,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he posted the",posted,the,exam,Did,fail,"at the postal service desk, he posted the exam",Did he fail the exam?,neutral_context2,13,word2_control_neutral_context2
13_word2_control_subject1_nocontext,word2_control,posted,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student posted the,posted,the,exam,Did,fail,the lazy student posted the exam,Did the lazy student fail the exam?,subject1_nocontext,13,word2_control_subject1_nocontext
13_word2_control_subject2_nocontext,word2_control,posted,subject2,the sender,nocontext,,1,exam,the sender,the sender posted the,posted,the,exam,Did,fail,the sender posted the exam,Did the sender fail the exam?,subject2_nocontext,13,word2_control_subject2_nocontext
13_nonword_neutral_nocontext,nonword,yailed,neutral,he,nocontext,,1,exam,he,he yailed the,yailed,the,exam,Did,fail,he yailed the exam,Did he fail the exam?,neutral_nocontext,13,nonword_neutral_nocontext
13_nonword_neutral_context1,nonword,yailed,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he yailed the",yailed,the,exam,Did,fail,"despite cramming at the last minute, he yailed the exam",Did he fail the exam?,neutral_context1,13,nonword_neutral_context1
13_nonword_neutral_context2,nonword,yailed,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he yailed the",yailed,the,exam,Did,fail,"at the postal service desk, he yailed the exam",Did he fail the exam?,neutral_context2,13,nonword_neutral_context2
13_nonword_subject1_nocontext,nonword,yailed,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student yailed the,yailed,the,exam,Did,fail,the lazy student yailed the exam,Did the lazy student fail the exam?,subject1_nocontext,13,nonword_subject1_nocontext
13_nonword_subject2_nocontext,nonword,yailed,subject2,the sender,nocontext,,1,exam,the sender,the sender yailed the,yailed,the,exam,Did,fail,the sender yailed the exam,Did the sender fail the exam?,subject2_nocontext,13,nonword_subject2_nocontext
13_random_neutral_nocontext,random,ftsted,neutral,he,nocontext,,1,exam,he,he ftsted the,ftsted,the,exam,Did,fail,he ftsted the exam,Did he fail the exam?,neutral_nocontext,13,random_neutral_nocontext
13_random_neutral_context1,random,ftsted,neutral,he,context1,"despite cramming at the last minute, ",1,exam,"despite cramming at the last minute, he","despite cramming at the last minute, he ftsted the",ftsted,the,exam,Did,fail,"despite cramming at the last minute, he ftsted the exam",Did he fail the exam?,neutral_context1,13,random_neutral_context1
13_random_neutral_context2,random,ftsted,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he ftsted the",ftsted,the,exam,Did,fail,"at the postal service desk, he ftsted the exam",Did he fail the exam?,neutral_context2,13,random_neutral_context2
13_random_subject1_nocontext,random,ftsted,subject1,the lazy student,nocontext,,1,exam,the lazy student,the lazy student ftsted the,ftsted,the,exam,Did,fail,the lazy student ftsted the exam,Did the lazy student fail the exam?,subject1_nocontext,13,random_subject1_nocontext
13_random_subject2_nocontext,random,ftsted,subject2,the sender,nocontext,,1,exam,the sender,the sender ftsted the,ftsted,the,exam,Did,fail,the sender ftsted the exam,Did the sender fail the exam?,subject2_nocontext,13,random_subject2_nocontext
14_word1_neutral_nocontext,word1,filed,neutral,he,nocontext,,1,lawsuit,he,he filed the,filed,the,lawsuit,Did,file,he filed the lawsuit,Did he file the lawsuit?,neutral_nocontext,14,word1_neutral_nocontext
14_word1_neutral_context1,word1,filed,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he filed the",filed,the,lawsuit,Did,file,"after negotiation failed, he filed the lawsuit",Did he file the lawsuit?,neutral_context1,14,word1_neutral_context1
14_word1_neutral_context2,word1,filed,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he filed the",filed,the,lawsuit,Did,file,"after three months of losses, he filed the lawsuit",Did he file the lawsuit?,neutral_context2,14,word1_neutral_context2
14_word1_subject1_nocontext,word1,filed,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team filed the,filed,the,lawsuit,Did,file,the legal team filed the lawsuit,Did the legal team file the lawsuit?,subject1_nocontext,14,word1_subject1_nocontext
14_word1_subject2_nocontext,word1,filed,subject2,the angry boss,nocontext,,1,lawsuit,the angry boss,the angry boss filed the,filed,the,lawsuit,Did,file,the angry boss filed the lawsuit,Did the angry boss file the lawsuit?,subject2_nocontext,14,word1_subject2_nocontext
14_word2_neutral_nocontext,word2,fired,neutral,he,nocontext,,1,lawsuit,he,he fired the,fired,the,lawsuit,Did,file,he fired the lawsuit,Did he file the lawsuit?,neutral_nocontext,14,word2_neutral_nocontext
14_word2_neutral_context1,word2,fired,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he fired the",fired,the,lawsuit,Did,file,"after negotiation failed, he fired the lawsuit",Did he file the lawsuit?,neutral_context1,14,word2_neutral_context1
14_word2_neutral_context2,word2,fired,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he fired the",fired,the,lawsuit,Did,file,"after three months of losses, he fired the lawsuit",Did he file the lawsuit?,neutral_context2,14,word2_neutral_context2
14_word2_subject1_nocontext,word2,fired,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team fired the,fired,the,lawsuit,Did,file,the legal team fired the lawsuit,Did the legal team file the lawsuit?,subject1_nocontext,14,word2_subject1_nocontext
14_word2_subject2_nocontext,word2,fired,subject2,the angry boss,nocontext,,1,lawsuit,the angry boss,the angry boss fired the,fired,the,lawsuit,Did,file,the angry boss fired the lawsuit,Did the angry boss file the lawsuit?,subject2_nocontext,14,word2_subject2_nocontext
14_word2_control_neutral_nocontext,word2_control,dismissed,neutral,he,nocontext,,1,lawsuit,he,he dismissed the,dismissed,the,lawsuit,Did,file,he dismissed the lawsuit,Did he file the lawsuit?,neutral_nocontext,14,word2_control_neutral_nocontext
14_word2_control_neutral_context1,word2_control,dismissed,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he dismissed the",dismissed,the,lawsuit,Did,file,"after negotiation failed, he dismissed the lawsuit",Did he file the lawsuit?,neutral_context1,14,word2_control_neutral_context1
14_word2_control_neutral_context2,word2_control,dismissed,neutral,he,context2,"after three months of losses, ",1,lawsuit,"after three months of losses, he","after three months of losses, he dismissed the",dismissed,the,lawsuit,Did,file,"after three months of losses, he dismissed the lawsuit",Did he file the lawsuit?,neutral_context2,14,word2_control_neutral_context2
14_word2_control_subject1_nocontext,word2_control,dismissed,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team dismissed the,dismissed,the,lawsuit,Did,file,the legal team dismissed the lawsuit,Did the legal team file the lawsuit?,subject1_nocontext,14,word2_control_subject1_nocontext
14_word2_control_subject2_nocontext,word2_control,dismissed,subject2,the angry boss,nocontext,,1,lawsuit,the angry boss,the angry boss dismissed the,dismissed,the,lawsuit,Did,file,the angry boss dismissed the lawsuit,Did the angry boss file the lawsuit?,subject2_nocontext,14,word2_control_subject2_nocontext
14_nonword_neutral_nocontext,nonword,fiped,neutral,he,nocontext,,1,lawsuit,he,he fiped the,fiped,the,lawsuit,Did,file,he fiped the lawsuit,Did he file the lawsuit?,neutral_nocontext,14,nonword_neutral_nocontext
14_nonword_neutral_context1,nonword,fiped,neutral,he,context1,"after negotiation failed, ",1,lawsuit,"after negotiation failed, he","after negotiation failed, he fiped the",fiped,the,lawsuit,Did,file,"after negotiation failed, he fiped the lawsuit",Did he file the lawsuit?,neutral_context1,14,nonword_neutral_context1
